prod_id,prod_name,true_category
8417127158,보성아산병원근조화환 배달비 무료,여가/생활편의
7223340666,휴대용 차량용 초기 진압용 간이 소화기 미니소화기 중형,생활/건강
7821087339,사무실 휴게실 업소용 5방향 파워난방 전기히터 중형급 온열기 바퀴형 난로,디지털/가전
8156710479,포토 박스 화이트 색상 리필 20장 프레임 사진북,생활/건강
8946853964,식자재 보스코도로 블랙트러플 페이스트 1 180g 식당 업소용 식재료,여가/생활편의
8351464387,증권투자권유자문인력 자격증 시험 2023 2024 4주완성 한권 합격 책 수험서,도서
8383440528,[이노크아든] 프리미엄 핸디선풍기 홍크 IAP-I9 휴대용+탁상용 USB충전식,디지털/가전
9284326735,9급 공무원 8개년 기출문제집 공통과목 통합 2024 자격증 교재 책,도서
8878785205,"[경주렌트카/평일] 21년식 K3급 준중형(24시간기준), 가솔린,  5인승, 자차포함, 신경주역/터미널 배반차무료",여가/생활편의
8502670250,롤테이블 알루미늄 합금 경량 캠핑 접이식 차박 야외,스포츠/레저
8562375931,발렌시아가 동전포켓 남성 반지갑 594315 1IZI3,패션잡화
6000913195,제주도 레드향,식품
5678414946,[빅토리녹스 공식] 스위스 아미 나이프 전용 이쑤시개 - 레드 A.6141.1.100,스포츠/레저
8032890033,페로&가토 노즈토이 삼식이면,생활/건강
8429714139,지학사 중등 영어 3-2 평가문제집 저자 민찬규,도서
8843819932,아크릴 금연 안내 몰딩 표시 팻말 사인물 표지판,가구/인테리어
8172293237,쿠쿠토이즈 코코몽 캐리어 병원놀이,출산/육아
6424624572,재패니즈 체리블라썸 후레그런스 미스트 100ML,화장품/미용
8901402525,[마이티지] 넥 배색 레이스 민소매 블라우스 (MO2NA303),패션의류
8376187367,칼슨  W 탁상시계 글로브 모스 그린 des. 아르만도 브리블드 D. 21cm H. 24 5cm 깊이. 14cm AA 배터리 제외,가구/인테리어
8947360710,리스타트: 야놀자 창업자 이수진의 경영 일기,도서
8582638945,모기퇴치기  충전식 전기 모기 킬러 램프 2000mAh USB 전원,디지털/가전
4829094386,[화진화장품] 프라임 풋 헬스트리트먼트 (발관리 전용 제품),화장품/미용
9133306634,군산장례식장 전북 군산시 근조화환 조화 꽃집 당일배송 전국꽃배달서비스,여가/생활편의
8216647620,발그레도트 배워머 임산부배가리개 랜덤2개 204551,출산/육아
9057846889,윌슨 클래시 100 V2 롤랑가로스 2023 295g 테니스라켓,스포츠/레저
8692076936,아이폰 11 프로 맥스 / 곡면 풀커버 우레탄 액정 보호 필름 5매,디지털/가전
7017832187,소근육발달 두드리는 유아실로폰 아기실로폰 악기교구,출산/육아
8683553664,"직업안정법: 법령, 시행령, 시행규칙",도서
8320501156,방지 강아지 해충 스프레이 Espree 알로에 허브 말 자외선 차단제 코트 파리 퇴치제 건강한 보호 32온스 농축액,생활/건강
